,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
0,Aruba,North America,415183.31,2724.053,,,,7.443,,79.19,38.320210237659964,584.8,41.2,13.085,11.62,,,,,76.29,,Aruba,LATINAMER.&CARIB,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663
1,Afghanistan,Asia,5399.48,192.517,1.0485247524752475,,,24.811,0.5184,36.88,27.444661791590494,54.422,18.6,2.581,9.59,,,37.746,0.5,64.83,0.511,Afghanistan,ASIA(EX.NEAREAST),31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38
2,Angola,Africa,2961.14,54.343,0.7706837606837607,,,46.91,0.1635,24.79,51.716106032906765,23.89,16.8,2.405,3.94,,,26.664,,61.15,0.581,Angola,SUB-SAHARANAFRICA,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
3,Anguilla,North America,245890.282,755.81,,,,3261.728,0.1615,65.38,,,,,,,,,,81.88,,Anguilla,LATINAMER.&CARIB,13477,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78
4,Albania,Europe,117541.387,1267.979,1.0285714285714285,,,565.336,0.9666,44.96,41.85849177330896,104.871,38.0,13.188,10.08,7.1,51.2,,2.89,78.57,0.795,Albania,EASTERNEUROPE,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.232,0.188,0.579
5,Andorra,Europe,601367.684,1991.408,0.8726870078740158,,,3799.719,0.9515,67.0,33.54798903107861,163.755,,,7.97,29.0,37.8,,,83.73,0.8680000000000001,Andorra,WESTERNEUROPE,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,
6,Argentina,South America,220718.205,2866.866,0.969852652259332,175.103,,809.775,0.662,76.64,52.42913321167883,16.177,31.9,11.198,5.5,16.2,27.7,,5.0,76.67,0.8449999999999999,Argentina,LATINAMER.&CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
7,Armenia,Asia,161556.383,3146.948,0.8804710500490678,,,1111.536,0.478,35.83,,102.931,35.7,11.232,7.11,1.5,52.1,94.043,4.2,75.09,0.776,Armenia,C.W.OFIND.STATES,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418
8,Australia,Oceania,436255.497,804.625,1.0954961089494164,16.197,212.817,2830.525,0.5793,82.7,47.28330895795247,3.202,37.9,15.504,5.07,13.0,16.5,,3.8399999999999994,83.44,0.944,Australia,OCEANIA,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7
9,Austria,Europe,679902.73,2518.452,1.063920233463035,79.31,524.519,21272.133,0.0892,74.76,49.232961608775135,106.749,44.4,19.202,6.35,28.4,30.9,,7.37,81.54,0.922,Austria,WESTERNEUROPE,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678
10,Azerbaijan,Asia,80310.459,992.172,0.9759881422924902,,,673.696,0.389,46.94,60.101224862888486,119.309,32.4,6.018,7.11,0.3,42.5,83.241,4.7,73.0,0.756,Azerbaijan,C.W.OFIND.STATES,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402
11,Burundi,Africa,4170.965,1.164,0.8606774193548387,,,128.377,0.0888,0.28,15.87892138939671,423.062,17.5,2.562,6.05,,,6.144,0.8,61.58,0.433,Burundi,SUB-SAHARANAFRICA,8090068,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.463,0.203,0.334
12,Belgium,Europe,411787.381,2947.0,1.1231395348837208,126.459,640.104,2955.332,0.464,78.66,39.11867458866545,375.564,41.8,18.571,4.29,25.1,31.4,,5.64,81.63,0.931,Belgium,WESTERNEUROPE,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.749
13,Benin,Africa,2097.977,12.207,0.4830721649484536,,,46.496,,20.54,32.233263254113346,99.11,18.8,3.244,0.99,0.6,12.3,11.035,0.5,61.77,0.545,Benin,SUB-SAHARANAFRICA,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546
14,Bangladesh,Asia,11916.317,172.041,1.0153846153846153,,,81.608,0.3209,82.09,50.06475319926874,1265.036,27.5,5.098,8.38,1.0,44.7,34.808,0.8,72.59,0.632,Bangladesh,ASIA(EX.NEAREAST),147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603
15,Bulgaria,Europe,192853.83,5661.642,1.037023575638507,117.813,1526.846,1463.898,0.4061,30.64,36.233692870201104,65.18,44.7,20.801,5.81,30.1,44.4,,7.454,75.05,0.816,Bulgaria,EASTERNEUROPE,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.093,0.304,0.603
16,Bahrain,Asia,473167.024,1043.31,1.0214396887159534,,,6812.903,0.2895,83.33,37.86212065813528,1935.907,32.4,2.372,16.52,5.8,37.6,,2.0,77.29,0.852,Bahrain,NEAREAST,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608
17,Belarus,Europe,104251.871,746.516,0.7931349206349206,,,1380.273,0.3182,66.64,23.40146252285192,46.858,40.3,14.799,5.18,10.5,46.1,,11.0,74.79,0.823,Belarus,C.W.OFIND.STATES,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.093,0.316,0.591
18,Belize,North America,174647.47,1697.571,0.9534470989761092,,,1432.139,0.3094,54.63,48.10408592321755,16.426,25.0,3.853,17.11,,,90.083,1.3,74.62,0.716,Belize,LATINAMER.&CARIB,287730,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2.0,28.84,5.72,0.142,0.152,0.612
19,Bermuda,North America,293737.443,2569.813,,,,653.221,0.0872,74.22,39.474579524680074,1308.82,,,13.0,,,,,82.59,,Bermuda,NORTHERNAMERICA,65773,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2.0,11.4,7.74,0.01,0.1,0.89
20,Bolivia,South America,98141.591,1831.135,1.0801588877855015,19.224,199.033,367.596,0.6329,50.4,42.370237659963436,10.202,25.4,6.704,6.89,,,25.383,1.1,71.51,0.718,Bolivia,LATINAMER.&CARIB,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
21,Brazil,South America,174634.922,3264.575,1.0905560975609756,,,330.912,,81.82,48.63132541133455,25.04,33.5,8.552,8.11,10.1,17.9,,2.2,75.88,0.765,Brazil,LATINAMER.&CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516
22,Barbados,North America,382728.674,2105.48,0.8921325966850828,,,2480.356,0.3745,55.05,47.930703839122486,664.463,39.8,14.952,13.57,1.9,14.5,88.469,5.8,79.19,0.814,Barbados,LATINAMER.&CARIB,279912,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78
23,Brunei,Asia,685266.435,358.573,0.6271794871794872,,,209.245,,99.47,39.56822669104205,81.347,32.4,4.591,12.79,2.0,30.9,,2.7,75.86,0.838,Brunei,ASIA(EX.NEAREAST),379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036,0.561,0.403
24,Bhutan,Asia,80096.414,26.839,0.801354401805869,,,2201.543,0.0454,86.61,50.7763071297989,21.188,28.600000000000005,4.885,9.75,,,79.807,1.7000000000000002,71.78,0.654,Bhutan,ASIA(EX.NEAREAST),2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
25,Botswana,Africa,125437.403,1063.377,0.7944601962922574,,,882.839,0.8919,63.24,36.54747714808044,4.044,25.8,3.941,4.81,5.7,34.4,,1.7999999999999998,69.59,0.735,Botswana,SUB-SAHARANAFRICA,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,1.0,23.08,29.5,0.024,0.469,0.507
26,Canada,North America,121735.504,1369.027,1.052,36.069,286.626,1629.606,0.5287,82.6,50.403199268738575,4.037,41.4,16.984,7.37,12.0,16.6,,2.5,82.43,0.9289999999999999,Canada,NORTHERNAMERICA,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
27,Switzerland,Europe,504084.391,1603.689,1.1095353339787029,61.095,425.149,2448.135,0.522,,36.42452468007313,214.243,43.1,18.436,5.59,22.6,28.9,,4.53,83.78,0.9549999999999998,Switzerland,WESTERNEUROPE,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
28,Chile,South America,269723.893,3290.036,1.0455522971652003,173.742,,2040.365,0.3626,90.29,51.48086837294333,24.282,35.4,11.087,8.46,34.2,41.5,,2.11,80.18,0.851,Chile,LATINAMER.&CARIB,16134219,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,3.0,15.23,5.81,0.06,0.493,0.447
29,China,Asia,69622.096,85.025,1.0477509293680298,,,6461.913,0.0016,89.54,73.447239488117,147.674,38.7,10.641,9.74,1.9,48.4,,4.34,76.91,0.761,China,ASIA(EX.NEAREAST),1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
30,Cameroon,Africa,4479.242,70.644,0.4876709613478692,,,100.416,0.0456,11.13,31.599478976234007,50.885,18.8,3.165,7.2,,,2.735,1.3,59.29,0.563,Cameroon,SUB-SAHARANAFRICA,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
31,Colombia,South America,122776.932,2752.148,0.9652254901960784,,,684.075,0.416,71.36,50.75776965265082,44.223,32.2,7.646,7.44,4.7,13.5,65.386,1.71,77.29,0.767,Colombia,LATINAMER.&CARIB,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.533
32,Comoros,Africa,10885.737,192.404,0.6809292502639915,,,122.062,0.0025,47.45,,437.352,20.4,2.963,11.88,4.4,23.6,15.574,2.2,64.32,0.554,Comoros,SUB-SAHARANAFRICA,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56
33,Cuba,North America,99383.636,760.779,1.0188415841584157,,,470.557,0.0879,89.36,48.10032906764168,110.408,43.1,14.738,8.27,17.1,53.3,85.198,5.2,78.8,0.783,Cuba,LATINAMER.&CARIB,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055,0.261,0.684
34,Cyprus,Europe,737554.506,1522.31,1.0098816568047337,63.616,335.935,32925.826,0.0606,72.11,45.17851005484461,127.657,37.3,13.416,9.24,19.6,52.7,,3.4000000000000004,80.98,0.8870000000000001,Cyprus,NEAREAST,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,,7.79,4.44,87.77,3.0,12.56,7.68,0.037,0.198,0.765
35,Germany,Europe,460957.128,2092.028,1.0975409836065575,69.102,,1574.021,0.556,76.24,44.12263254113345,237.016,46.6,21.453,8.31,28.2,33.1,,8.0,81.33,0.947,Germany,WESTERNEUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695
36,Djibouti,Africa,13998.292,168.622,0.7121821821821822,,,280.159,0.0503,31.38,39.91341864716636,41.285,25.4,4.213,6.05,1.7,24.5,,1.4,67.11,0.524,Djibouti,SUB-SAHARANAFRICA,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
37,Dominica,North America,216608.483,1017.07,0.4243801652892562,,,2836.077,0.3853,42.14,39.91393053016453,98.567,,,11.62,,,,3.7999999999999994,75.0,0.742,Dominica,LATINAMER.&CARIB,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.177,0.328,0.495
38,Denmark,Europe,580366.828,1482.254,1.0538424124513617,26.01,299.545,11043.263,0.3399,80.52,35.37646252285192,136.52,42.3,19.677,6.41,19.3,18.8,,2.5,80.9,0.94,Denmark,WESTERNEUROPE,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735
39,Algeria,Africa,6053.93,153.241,1.0034513274336283,1.492,,5.219,,14.43,48.45615173674589,17.348,29.100000000000005,6.211,6.73,0.7,30.4,83.741,1.8999999999999997,76.88,0.748,Algeria,NORTHERNAFRICA,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298
40,Ecuador,South America,59011.993,2000.944,0.998343137254902,,,161.295,0.673,79.11,47.826535648994515,66.939,28.100000000000005,7.104,5.55,2.0,12.3,80.635,1.5,77.01,0.759,Ecuador,LATINAMER.&CARIB,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
41,Egypt,Africa,4649.271,223.714,0.757158203125,,,109.415,0.9089,38.15,43.35214808043876,97.999,25.3,5.159,17.31,0.2,50.1,89.827,1.6,71.99,0.707,Egypt,NORTHERNAFRICA,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493
42,Eritrea,Africa,2765.713,27.958,0.7646938775510205,,,6.544,,,0.0,44.304,19.3,3.607,6.05,0.2,11.4,,0.7,66.32,0.459,Eritrea,SUB-SAHARANAFRICA,4786994,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
43,Spain,Europe,292072.215,2552.975,1.1482722007722006,102.905,568.33,1961.848,0.434,85.66,45.04116087751371,93.105,45.5,19.436,7.17,27.4,31.4,,2.97,83.56,0.904,Spain,WESTERNEUROPE,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665
44,Estonia,Europe,466816.835,2263.088,1.0594921875,52.788,552.764,2577.757,0.616,64.98,32.07683729433272,31.033,42.7,19.452,4.02,24.5,39.3,,4.69,78.74,0.8920000000000001,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,3.0,10.04,13.25,0.04,0.294,0.666
45,Ethiopia,Africa,4059.866,61.388,1.0316986855409505,,,41.774,0.4553,30.51,45.119707495429616,104.957,19.8,3.526,7.47,0.4,8.5,7.96,0.3,66.6,0.48500000000000004,Ethiopia,SUB-SAHARANAFRICA,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426
46,Finland,Europe,267178.872,1759.691,1.0193865628042844,14.98,196.544,1994.022,0.509,78.47,32.57875685557587,18.136,42.8,21.228,5.76,18.3,22.6,,3.28,81.91,0.938,Finland,WESTERNEUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,3.0,10.45,9.86,0.028,0.295,0.676
47,Fiji,Oceania,74127.014,949.698,0.9583116883116884,,,604.059,,68.96,54.12250457038391,49.562,28.600000000000005,6.224,14.49,10.2,34.8,,2.3,67.44,0.743,Fiji,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776
48,France,Europe,604292.946,2532.702,1.0890173410404624,103.505,493.504,4126.754,0.309,78.44,42.349826325411335,122.578,42.0,19.718,4.77,30.1,35.6,,5.98,82.66,0.9010000000000001,France,WESTERNEUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764
49,Gabon,Africa,20507.351,128.506,0.8080808080808081,,,683.374,0.6613,10.78,47.54945155393053,7.859,23.1,4.45,7.2,,,,6.3,66.47,0.703,Gabon,SUB-SAHARANAFRICA,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348
50,Georgia,Asia,492392.476,4563.366,0.8107936507936507,,,3632.937,0.9374,34.08,43.59658135283364,65.032,38.7,14.864,7.11,5.3,55.5,,2.6,73.77,0.812,Georgia,C.W.OFIND.STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553
51,Guernsey,Europe,557817.114,1057.967,,,,,,83.23,,,,,,,,,,,,Guernsey,WESTERNEUROPE,65409,78,838.6,64.1,3.84,4.71,20000.0,,842.4,,,,3.0,8.81,10.01,0.03,0.1,0.87
52,Ghana,Africa,5127.664,43.673,0.9509683794466404,,,75.084,0.4347,30.38,42.65925959780622,126.719,21.1,3.385,4.97,0.3,7.7,41.047,0.8999999999999999,64.07,0.611,Ghana,SUB-SAHARANAFRICA,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.246,0.387
53,Gibraltar,Europe,628882.7,3458.09,,,,16322.865,0.1481,126.89,,3457.1,,,,,,,,79.93,,Gibraltar,WESTERNEUROPE,27928,7,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,,10.74,9.31,,,
54,Guinea,Africa,2782.454,33.768,0.735234297108674,,,52.351,0.0549,34.1,52.85707495429616,51.755,19.0,3.135,2.42,,,17.45,0.3,61.6,0.477,Guinea,SUB-SAHARANAFRICA,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401
55,Guadeloupe,North America,512520.151,2569.726,,,,,,,,,43.4,,,,,,,82.14,,Guadeloupe,LATINAMER.&CARIB,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,2.0,15.05,6.09,0.15,0.17,0.68
56,Guinea-Bissau,Africa,4565.963,84.062,0.5777505112474437,,,69.368,0.0445,25.35,,66.191,19.4,3.002,2.42,,,6.403,,58.32,0.4799999999999999,Guinea-Bissau,SUB-SAHARANAFRICA,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
57,Greece,Europe,586094.984,3564.189,1.0374634146341464,,,8088.12,0.1054,73.62,52.64063071297989,83.479,45.3,20.396,4.55,35.3,52.0,,4.21,82.24,0.888,Greece,WESTERNEUROPE,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733
58,Grenada,North America,156967.615,1897.034,0.55721399730821,,,1357.796,0.2687,31.11,,317.132,29.399999999999995,7.304,10.71,,,,3.7000000000000006,72.4,0.779,Grenada,LATINAMER.&CARIB,89703,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,0.054,0.18,0.766
59,Greenland,North America,211898.609,371.721,,,,,,68.17,30.796901279707495,0.137,,,2.16,,,,,71.7,,Greenland,NORTHERNAMERICA,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,,448.9,0.0,0.0,100.0,1.0,15.93,7.84,,,
60,Guatemala,North America,70235.656,1132.151,1.0629689067201604,,,231.012,0.513,39.94,53.555274223034736,157.834,22.9,4.694,10.18,,,76.665,0.6,74.3,0.663,Guatemala,LATINAMER.&CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,2.0,29.88,5.2,0.227,0.188,0.585
61,Guam,Oceania,300221.791,2404.196,,,,1897.076,0.583,,0.0,304.128,31.399999999999995,9.551,21.52,,,,,80.07,,Guam,OCEANIA,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,,,
62,Guyana,South America,90583.102,1604.992,1.01770423991727,,,550.228,0.3698,47.23,52.29457038391225,3.952,26.299999999999997,5.305,11.62,,,77.159,1.6,69.91,0.682,Guyana,LATINAMER.&CARIB,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427
63,Honduras,North America,45301.01,1065.48,0.9229633300297324,,,,,56.11,62.96259597806216,82.805,24.9,4.652,7.21,2.0,,84.169,0.7,75.27,0.634,Honduras,LATINAMER.&CARIB,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,2.0,28.24,5.28,0.139,0.312,0.549
64,Croatia,Europe,316068.709,4532.1,1.0473110893032385,,738.395,1212.45,0.529,55.87,33.4650731261426,73.726,44.0,19.724,5.59,34.3,39.9,,5.54,78.49,0.851,Croatia,EASTERNEUROPE,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
65,Haiti,North America,2955.632,74.234,0.9222554067971164,,,18.047,0.424,3.02,44.23063071297989,398.448,24.3,4.8,6.65,2.9,23.1,22.863,0.7,64.0,0.51,Haiti,LATINAMER.&CARIB,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52
66,Hungary,Europe,221011.319,4894.904,1.0798131760078664,,,1127.081,0.4236,62.28,36.609698354661795,108.043,43.4,18.577,7.55,26.8,34.8,,7.02,76.88,0.8540000000000001,Hungary,EASTERNEUROPE,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037,0.312,0.651
67,Indonesia,Asia,24715.415,587.307,1.0380547409579668,,,217.363,0.3054,62.68,54.55830895795247,145.725,29.299999999999997,5.319,6.32,2.8,76.1,64.204,1.04,71.72,0.718,Indonesia,ASIA(EX.NEAREAST),245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408
68,India,Asia,31747.624,375.313,1.035478515625,,,609.938,0.2268,67.17,57.97097806215722,450.419,28.200000000000003,5.989,10.39,1.9,20.6,59.55,0.53,69.66,0.645,India,ASIA(EX.NEAREAST),1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
69,Ireland,Europe,340955.042,1787.539,1.05501953125,43.001,386.414,2476.135,0.51,80.88,42.62072212065814,69.874,38.7,13.928,3.28,23.0,25.7,,2.96,82.3,0.9549999999999998,Ireland,WESTERNEUROPE,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49
70,Iran,Asia,85961.402,1651.791,1.0218731988472622,,,594.485,0.5375,66.13,59.445210237659964,49.831,32.4,5.44,9.59,0.8,21.1,,1.5,76.68,0.783,Iran,ASIA(EX.NEAREAST),68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46
71,Iraq,Asia,55410.332,570.274,0.9739707317073171,,,436.507,0.2751,17.85,58.4872029250457,88.125,20.0,3.186,8.83,,,94.576,1.4,70.6,0.674,Iraq,NEAREAST,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261
72,Iceland,Europe,560979.665,697.232,0.9515399610136452,,,3709.574,,77.82,30.66988117001828,3.404,37.3,14.431,5.31,14.3,15.2,,2.91,82.99,0.949,Iceland,WESTERNEUROPE,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
73,Israel,Asia,510824.426,1327.125,1.0573268292682927,44.449,393.057,5573.137,0.333,65.19,43.36253199268739,402.606,30.600000000000005,11.733,6.74,15.4,35.4,,2.99,82.97,0.9189999999999999,Israel,NEAREAST,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657
74,Italy,Europe,438210.379,3227.052,1.0682854406130269,68.905,652.247,3795.998,0.2684,81.25,52.37960694698355,205.859,47.9,23.021,4.78,19.8,27.8,,3.18,83.51,0.8920000000000001,Italy,WESTERNEUROPE,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
