,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
0,0.0,126.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.0,0.0,128.34,0.0,Aruba,LATINAMER.&CARIB,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663
1,0.5662983425414365,23.096685082872927,0.049723756906077346,0.03867403314917127,0.08839779005524862,0.3784530386740331,2.2845303867403315,5.831491712707182,1.574585635359116,0.212707182320442,0.013812154696132596,117.12292817679558,0.03038674033149171,Angola,SUB-SAHARANAFRICA,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,265.0,0.0,Anguilla,LATINAMER.&CARIB,13477,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78
3,0.16666666666666666,103.41666666666667,0.0,0.0,0.0,0.25,1.0,2.3333333333333335,1.75,0.0,0.08333333333333333,84.35333333333334,0.0,Albania,EASTERNEUROPE,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.232,0.188,0.579
4,0.7142857142857143,47.0,0.0,0.0,0.0,0.14285714285714285,1.2857142857142858,3.142857142857143,2.142857142857143,0.5714285714285714,0.0,202.65285714285713,0.2857142857142857,Andorra,WESTERNEUROPE,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,0.56
5,0.2523364485981308,66.84579439252336,0.004672897196261682,0.0,0.004672897196261682,0.19626168224299065,0.8644859813084113,2.2663551401869158,2.0093457943925235,0.14018691588785046,0.004672897196261682,117.76158878504673,0.13551401869158877,Argentina,LATINAMER.&CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
6,0.25,56.625,0.0,0.0,0.0,0.125,1.125,2.25,1.875,0.375,0.0,99.9875,0.0,Armenia,C.W.OFIND.STATES,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418
7,0.2511737089201878,125.36854460093896,0.004694835680751174,0.0,0.002347417840375587,0.2605633802816901,0.8145539906103286,2.1502347417840375,1.9248826291079812,0.09859154929577464,0.002347417840375587,116.77525821596245,0.04460093896713615,Australia,OCEANIA,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7
8,0.18210609659540775,117.7403008709422,0.00870942201108472,0.00870942201108472,0.0166270783847981,0.3832145684877276,0.9049881235154394,2.7695961995249405,1.9105304829770389,0.08471892319873317,0.0,106.23958036421219,0.06175771971496437,Austria,WESTERNEUROPE,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678
9,0.5294117647058824,70.17647058823529,0.0,0.0,0.0,0.4117647058823529,1.3529411764705883,2.823529411764706,2.0588235294117645,0.47058823529411764,0.0,114.35588235294118,0.0,Azerbaijan,C.W.OFIND.STATES,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402
