iso_code,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,Aruba,North America,415183.31,2724.053,,,,7.443,,79.19,38.320210237659964,584.8,41.2,13.085,11.62,,,,,76.29,
AFG,Afghanistan,Asia,5399.48,192.517,1.0485247524752475,,,24.811,0.5184,36.88,27.444661791590494,54.422,18.6,2.581,9.59,,,37.746,0.5,64.83,0.511
AGO,Angola,Africa,2961.14,54.343,0.7706837606837607,,,46.91,0.1635,24.79,51.716106032906765,23.89,16.8,2.405,3.94,,,26.664,,61.15,0.581
AIA,Anguilla,North America,245890.282,755.81,,,,3261.728,0.1615,65.38,,,,,,,,,,81.88,
ALB,Albania,Europe,117541.387,1267.979,1.0285714285714285,,,565.336,0.9666,44.96,41.85849177330896,104.871,38.0,13.188,10.08,7.1,51.2,,2.89,78.57,0.795
AND,Andorra,Europe,601367.684,1991.408,0.8726870078740158,,,3799.719,0.9515,67.0,33.54798903107861,163.755,,,7.97,29.0,37.8,,,83.73,0.8680000000000001
ARE,United Arab Emirates,Asia,113019.214,248.805,1.0204705882352942,,,17994.67,0.0241,103.72,44.317294332723954,112.442,34.0,1.144,17.26,1.2,37.4,,1.2,77.97,0.89
ARG,Argentina,South America,220718.205,2866.866,0.969852652259332,175.103,,809.775,0.662,76.64,52.42913321167883,16.177,31.9,11.198,5.5,16.2,27.7,,5.0,76.67,0.8449999999999999
ARM,Armenia,Asia,161556.383,3146.948,0.8804710500490678,,,1111.536,0.478,35.83,,102.931,35.7,11.232,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ASM,American Samoa,Oceania,188079.919,767.581,,,,,,,,278.205,,,,,,,,73.74,
ATG,Antigua and Barbuda,North America,97107.879,1556.968,0.6426844014510278,,,179.146,0.6099,66.53,,231.845,32.1,6.933,13.17,,,,3.7999999999999994,77.02,0.778
AUS,Australia,Oceania,436255.497,804.625,1.0954961089494164,16.197,212.817,2830.525,0.5793,82.7,47.28330895795247,3.202,37.9,15.504,5.07,13.0,16.5,,3.8399999999999994,83.44,0.944
AUT,Austria,Europe,679902.73,2518.452,1.063920233463035,79.31,524.519,21272.133,0.0892,74.76,49.232961608775135,106.749,44.4,19.202,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Azerbaijan,Asia,80310.459,992.172,0.9759881422924902,,,673.696,0.389,46.94,60.101224862888486,119.309,32.4,6.018,7.11,0.3,42.5,83.241,4.7,73.0,0.756
BDI,Burundi,Africa,4170.965,1.164,0.8606774193548387,,,128.377,0.0888,0.28,15.87892138939671,423.062,17.5,2.562,6.05,,,6.144,0.8,61.58,0.433
BEL,Belgium,Europe,411787.381,2947.0,1.1231395348837208,126.459,640.104,2955.332,0.464,78.66,39.11867458866545,375.564,41.8,18.571,4.29,25.1,31.4,,5.64,81.63,0.931
BEN,Benin,Africa,2097.977,12.207,0.4830721649484536,,,46.496,,20.54,32.233263254113346,99.11,18.8,3.244,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BES,Bonaire Sint Eustatius and Saba,North America,440669.821,1515.6,,,,,,61.87,,,,,,,,,,77.79,
BFA,Burkina Faso,Africa,972.754,17.465,0.6016370808678502,,,14.695,0.438,18.21,20.532376599634368,70.151,17.6,2.409,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BGD,Bangladesh,Asia,11916.317,172.041,1.0153846153846153,,,81.608,0.3209,82.09,50.06475319926874,1265.036,27.5,5.098,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGR,Bulgaria,Europe,192853.83,5661.642,1.037023575638507,117.813,1526.846,1463.898,0.4061,30.64,36.233692870201104,65.18,44.7,20.801,5.81,30.1,44.4,,7.454,75.05,0.816
BHR,Bahrain,Asia,473167.024,1043.31,1.0214396887159534,,,6812.903,0.2895,83.33,37.86212065813528,1935.907,32.4,2.372,16.52,5.8,37.6,,2.0,77.29,0.852
BHS,Bahamas,North America,92890.297,2058.592,0.9666561844863732,,,591.313,0.4876,40.73,52.39060329067642,39.497,34.3,8.996,13.17,3.1,20.4,,2.9,73.92,0.814
BIH,Bosnia and Herzegovina,Europe,124630.976,5055.466,1.0568307086614173,,,458.37,0.7422,26.17,38.753427787934186,68.496,42.5,16.569,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BLM,Saint Barthelemy,North America,499727.124,454.794,,,,,,,,,,,,,,,,,
BLR,Belarus,Europe,104251.871,746.516,0.7931349206349206,,,1380.273,0.3182,66.64,23.40146252285192,46.858,40.3,14.799,5.18,10.5,46.1,,11.0,74.79,0.823
BLZ,Belize,North America,174647.47,1697.571,0.9534470989761092,,,1432.139,0.3094,54.63,48.10408592321755,16.426,25.0,3.853,17.11,,,90.083,1.3,74.62,0.716
BMU,Bermuda,North America,293737.443,2569.813,,,,653.221,0.0872,74.22,39.474579524680074,1308.82,,,13.0,,,,,82.59,
BOL,Bolivia,South America,98141.591,1831.135,1.0801588877855015,19.224,199.033,367.596,0.6329,50.4,42.370237659963436,10.202,25.4,6.704,6.89,,,25.383,1.1,71.51,0.718
BRA,Brazil,South America,174634.922,3264.575,1.0905560975609756,,,330.912,,81.82,48.63132541133455,25.04,33.5,8.552,8.11,10.1,17.9,,2.2,75.88,0.765
BRB,Barbados,North America,382728.674,2105.48,0.8921325966850828,,,2480.356,0.3745,55.05,47.930703839122486,664.463,39.8,14.952,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRN,Brunei,Asia,685266.435,358.573,0.6271794871794872,,,209.245,,99.47,39.56822669104205,81.347,32.4,4.591,12.79,2.0,30.9,,2.7,75.86,0.838
BTN,Bhutan,Asia,80096.414,26.839,0.801354401805869,,,2201.543,0.0454,86.61,50.7763071297989,21.188,28.600000000000005,4.885,9.75,,,79.807,1.7000000000000002,71.78,0.654
BWA,Botswana,Africa,125437.403,1063.377,0.7944601962922574,,,882.839,0.8919,63.24,36.54747714808044,4.044,25.8,3.941,4.81,5.7,34.4,,1.7999999999999998,69.59,0.735
CAF,Central African Republic,Africa,2754.363,20.254,0.37067079463364294,,,17.364,0.6184,40.63,23.94717550274223,7.479,18.3,3.655,6.1,,,16.603,1.0,53.28,0.397
CAN,Canada,North America,121735.504,1369.027,1.052,36.069,286.626,1629.606,0.5287,82.6,50.403199268738575,4.037,41.4,16.984,7.37,12.0,16.6,,2.5,82.43,0.9289999999999999
CHE,Switzerland,Europe,504084.391,1603.689,1.1095353339787029,61.095,425.149,2448.135,0.522,,36.42452468007313,214.243,43.1,18.436,5.59,22.6,28.9,,4.53,83.78,0.9549999999999998
CHL,Chile,South America,269723.893,3290.036,1.0455522971652003,173.742,,2040.365,0.3626,90.29,51.48086837294333,24.282,35.4,11.087,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,China,Asia,69622.096,85.025,1.0477509293680298,,,6461.913,0.0016,89.54,73.447239488117,147.674,38.7,10.641,9.74,1.9,48.4,,4.34,76.91,0.761
CIV,Cote d'Ivoire,Africa,3136.693,29.651,1.0310781404549951,,,56.075,0.2951,43.2,24.92187385740402,76.399,18.7,2.933,2.42,,,19.351,,57.78,0.538
CMR,Cameroon,Africa,4479.242,70.644,0.4876709613478692,,,100.416,0.0456,11.13,31.599478976234007,50.885,18.8,3.165,7.2,,,2.735,1.3,59.29,0.563
COD,Democratic Republic of Congo,Africa,978.586,14.817,0.8678330019880716,,,10.899,0.3693,13.0,37.50040219378428,35.879,17.0,3.02,6.1,,,4.472,,60.68,0.4799999999999999
COG,Congo,Africa,4220.132,65.154,0.4533568548387097,,,67.692,0.0,10.96,43.61063071297989,15.405,19.0,3.402,7.2,1.7,52.3,47.964,,64.57,0.574
COK,Cook Islands,Oceania,418506.341,117.426,,,,,,86.47,,,,,,,,,,76.25,
