country,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces
Aruba,0.0,126.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.0,0.0,128.34,0.0
Angola,0.5662983425414365,23.096685082872927,0.049723756906077346,0.03867403314917127,0.08839779005524862,0.3784530386740331,2.2845303867403315,5.831491712707182,1.574585635359116,0.212707182320442,0.013812154696132596,117.12292817679558,0.03038674033149171
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,265.0,0.0
Albania,0.16666666666666666,103.41666666666667,0.0,0.0,0.0,0.25,1.0,2.3333333333333335,1.75,0.0,0.08333333333333333,84.35333333333334,0.0
Andorra,0.7142857142857143,47.0,0.0,0.0,0.0,0.14285714285714285,1.2857142857142858,3.142857142857143,2.142857142857143,0.5714285714285714,0.0,202.65285714285713,0.2857142857142857
United Arab Emirates,0.8431372549019608,48.411764705882355,0.0196078431372549,0.0,0.0,0.11764705882352941,1.3725490196078431,3.156862745098039,1.8235294117647058,0.39215686274509803,0.0,135.5649019607843,0.0196078431372549
Argentina,0.2523364485981308,66.84579439252336,0.004672897196261682,0.0,0.004672897196261682,0.19626168224299065,0.8644859813084113,2.2663551401869158,2.0093457943925235,0.14018691588785046,0.004672897196261682,117.76158878504673,0.13551401869158877
Armenia,0.25,56.625,0.0,0.0,0.0,0.125,1.125,2.25,1.875,0.375,0.0,99.9875,0.0
American Samoa,0.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,72.07,0.0
Antarctica,0.0,20.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,134.25,0.0
French Southern Territories,0.0,116.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,126.0,0.0
Australia,0.2511737089201878,125.36854460093896,0.004694835680751174,0.0,0.002347417840375587,0.2605633802816901,0.8145539906103286,2.1502347417840375,1.9248826291079812,0.09859154929577464,0.002347417840375587,116.77525821596245,0.04460093896713615
Austria,0.18210609659540775,117.7403008709422,0.00870942201108472,0.00870942201108472,0.0166270783847981,0.3832145684877276,0.9049881235154394,2.7695961995249405,1.9105304829770389,0.08471892319873317,0.0,106.23958036421219,0.06175771971496437
Azerbaijan,0.5294117647058824,70.17647058823529,0.0,0.0,0.0,0.4117647058823529,1.3529411764705883,2.823529411764706,2.0588235294117645,0.47058823529411764,0.0,114.35588235294118,0.0
Burundi,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,46.0,0.0
Belgium,0.20239111870196413,99.66737830913749,0.007258753202391118,0.08454312553373185,0.010247651579846286,0.215200683176772,1.0486763450042698,2.6366353543979506,1.9590093936806148,0.1327924850555081,0.005123825789923143,113.84778394534587,0.056789069171648165
Benin,1.0,274.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,2.0,0.0,0.0,123.2,0.0
Burkina Faso,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,80.3,0.0
Bangladesh,0.75,28.083333333333332,0.0,0.0,0.0,0.0,1.3333333333333333,2.5,2.3333333333333335,0.25,0.0,149.8025,0.0
